city,district,district1,district2,name,area,month,day,price,floor,built,road_name
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,99.385,200610,24,"156,000",2,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,151.008,200610,25,"225,000",3,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,99.385,200610,26,"147,000",2,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,151.008,200611,2,"229,000",2,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,151.008,200611,4,"238,000",9,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,99.385,200612,16,"170,000",7,1986,올림픽로4길 15
서울특별시 송파구 잠실동,86,0086,0000,아시아선수촌아파트,99.385,200612,27,"159,800",1,1986,올림픽로4길 15
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200601,5,"54,000",13,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200601,9,"54,000",7,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200601,26,"42,000",12,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200602,9,"54,500",7,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200602,20,"59,000",9,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200602,24,"74,000",9,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200602,28,"54,500",2,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200603,1,"41,400",6,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200603,3,"59,000",14,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200603,4,"41,600",12,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200603,4,"58,300",13,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200603,7,"57,000",5,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200603,8,"59,000",10,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200603,8,"37,300",1,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200603,9,"73,000",12,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200603,9,"58,000",14,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200603,12,"58,700",10,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200603,15,"71,500",3,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,115.83,200603,16,"70,000",15,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200603,16,"40,900",2,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200603,23,"60,000",11,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200603,25,"56,500",2,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,81.14,200604,4,"43,500",13,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200604,10,"60,000",15,1983,백제고분로18길 30
서울특별시 송파구 잠실동,320,0320,0000,우성4차,95.84,200604,12,"55,300",1,1983,백제고분로18길 30
